sequence, count
the cakes, 10
a disaster, 10
of time, 10
was your, 10
no thanks, 10
seen anything, 10
a whole, 10
the clouds, 10
a sister, 10
i only, 10
no problem, 10
tried to, 10
best of, 10
of here, 10
were just, 10
all night, 10
thing i, 10
letter to, 10
the big, 10
's coming, 10
this place, 10
're my, 10
instead of, 10
you talking, 10
a long, 10
than i, 10
no need, 10
here is, 10
come and, 10
the food, 10
that they, 10
fluttershy 's, 10
i came, 10
that will, 10
applejack 's, 10
last year, 10
us to, 10
any of, 10
the problem, 10
or not, 10
for what, 10
but a, 10
get that, 10
you gon, 10
any more, 10
rainbow crash, 10
plenty of, 10
hearts and, 10
future twilight, 10
about your, 10
like me, 10
right there, 10
my goodness, 10
best friend, 10
's wrong, 10
's me, 10
i still, 10
learned that, 10
that 'll, 10
applejack is, 10
sure i, 10
student twilight, 10
just need, 10
n't she, 10
uh uh, 10
princess is, 10
so long, 10
your best, 10
sugarcube corner, 10
one 's, 10
saw the, 10
pinkie i, 10
na know, 10
pony 's, 10
sure it, 10
the book, 10
anything about, 10
think so, 10
make them, 10
we will, 10
big deal, 10
you kidding, 10
then you, 10
applejack i, 10
hope you, 10
back here, 10
how much, 10
's about, 10
no idea, 10
's quite, 10
're sorry, 10
friends and, 10
it down, 10
what it, 10
to believe, 10
'll make, 10
give her, 10
is all, 10
magic to, 10
it does, 10
then what, 10
she will, 10
as you, 10
what to, 10
but they, 10
does not, 10
see me, 10
spike you, 10
to it, 10
your hooves, 10
hey twilight, 10
a bunch, 10
well we, 10
for everypony, 10
it out, 10
why we, 10
these things, 10
the leaves, 10
the dragon, 10
find the, 10
and how, 10
's on, 10
're up, 10
a second, 10
so the, 10
and this, 10
you wanted, 10
to fix, 10
found her, 10
really think, 10
there was, 10
where did, 10
a special, 10
hit the, 10
why not, 10
so many, 10
fluttershy is, 10
you be, 10
go home, 10
give it, 10
is one, 10
out with, 10
just about, 10
as the, 10
in her, 10
'll go, 10
see it, 10
're supposed, 10
oh wait, 10
tell us, 10
oh well, 10
your new, 10
us all, 10
you ready, 10
glad you, 10
could do, 10
who you, 10
happy birthday, 9
my hooves, 9
made a, 9
seem to, 9
in you, 9
think the, 9
to catch, 9
you make, 9
oh the, 9
stop the, 9
up here, 9
doing this, 9
getting a, 9
a pegasus, 9
no longer, 9
to learn, 9
i suppose, 9
a friend, 9
the ", 9
name is, 9
help her, 9
talk about, 9
to our, 9
you at, 9
and help, 9
for an, 9
no one, 9
oh oh, 9
he 'll, 9
here we, 9
be right, 9
that makes, 9
spike 's, 9
an idea, 9
you feel, 9
take care, 9
you who, 9
'm ready, 9
and mrs., 9
come here, 9
can find, 9
i dare, 9
ta get, 9
get them, 9
can handle, 9
a pet, 9
at this, 9
can see, 9
who i, 9
you i, 9
n't this, 9
my sister, 9
should we, 9
for that, 9
gummy 's, 9
me out, 9
since you, 9
scared of, 9
as my, 9
some sort, 9
one thing, 9
twilight i, 9
said i, 9
the hay, 9
you here, 9
the sonic, 9
n't the, 9
to eat, 9
you later, 9
think they, 9
ask me, 9
your friend, 9
say you, 9
good with, 9
this the, 9
they come, 9
leave me, 9
go and, 9
wait a, 9
oh uh, 9
and big, 9
oh for, 9
oh this, 9
she could, 9
time with, 9
quite a, 9
a thing, 9
like my, 9
bet you, 9
was awesome, 9
say so, 9
this year, 9
take that, 9
friends are, 9
could have, 9
not have, 9
apple pie, 9
to worry, 9
mr. and, 9
was it, 9
bunch of, 9
better get, 9
this here, 9
's in, 9
once again, 9
on fluttershy, 9
just make, 9
big mcintosh, 9
my name, 9
we go, 9
everything i, 9
the matter, 9
one bit, 9
most important, 9
just an, 9
get you, 9
day and, 9
which is, 9
spike i, 9
made me, 9
having a, 9
my brother, 9
how many, 9
do is, 9
come up, 9
to use, 9
about friendship, 9
tell her, 9
uh you, 9
n't been, 9
they all, 9
i wo, 9
little guy, 9
course not, 9
thing to, 9
's do, 9
you put, 9
been so, 9
the wedding, 9
's rainbow, 9
much better, 9
think about, 9
as in, 9
find some, 9
you again, 9
gom player, 9
get some, 9
me this, 9
hard work, 9
is in, 9
everything 's, 9
a moment, 9
place to, 9
oh rarity, 9
a unicorn, 9
back in, 9
cutie pox, 9
something that, 9
rarity is, 9
make sure, 9
to happen, 9
not only, 9
na find, 9
so excited, 9
doing here, 9
uh we, 9
good luck, 9
him to, 8
without you, 8
apple trees, 8
come with, 8
when it, 8
this again, 8
's there, 8
the middle, 8
three of, 8
way you, 8
next tuesday, 8
you back, 8
in no, 8
put on, 8
stop it, 8
got you, 8
pinkie sense, 8
not even, 8
before the, 8
've tried, 8
told me, 8
waiting for, 8
so it, 8
but there, 8
oh do, 8
i used, 8
on now, 8
to start, 8
the race, 8
that for, 8
if they, 8
time i, 8
by a, 8
thanks twilight, 8
with it, 8
the finish, 8
will 's, 8
say it, 8
keep it, 8
have our, 8
and be, 8
so she, 8
you my, 8
to run, 8
then we, 8
a spell, 8
before i, 8
do anything, 8
that there, 8
wrong with, 8
it that, 8
that pony, 8
earth ponies, 8
really are, 8
a game, 8
somepony else, 8
save you, 8
you take, 8
i tried, 8
for our, 8
n no, 8
prove it, 8
running of, 8
part of, 8
give up, 8
guess that, 8
's like, 8
big sister, 8
the library, 8
so glad, 8
did that, 8
swirl the, 8
a nice, 8
is too, 8
marzipan mascarpone, 8
on time, 8
about her, 8
what now, 8
with applejack, 8
hoof in, 8
the royal, 8
on twilight, 8
out to, 8
" for, 8
one hundred, 8
come true, 8
please do, 8
into a, 8
star swirl, 8
've seen, 8
was my, 8
daring do, 8
your own, 8
the little, 8
had n't, 8
was gon, 8
them for, 8
chance to, 8
time you, 8
spirit of, 8
when we, 8
could ever, 8
know about, 8
the competition, 8
do have, 8
for some, 8
you pinkie, 8
bit of, 8
you with, 8
this party, 8
uh no, 8
as fast, 8
attention to, 8
ever since, 8
believe you, 8
does this, 8
one assistant, 8
is on, 8
knew you, 8
a sonic, 8
a really, 8
fancy pants, 8
n't find, 8
over equestria, 8
just fine, 8
my magic, 8
maybe she, 8
very first, 8
my gosh, 8
so fast, 8
na take, 8
no that, 8
du n, 8
around here, 8
stay here, 8
we must, 8
your little, 8
meringue madness, 8
go ahead, 8
'm trying, 8
on everypony, 8
that sounds, 8
last thing, 8
take your, 8
my fault, 8
out who, 8
none of, 8
the canterlot, 8
shall we, 8
a huge, 8
dash and, 8
the bearded, 8
year 's, 8
's you, 8
never fear, 8
hooves day, 8
just want, 8
their own, 8
n't fly, 8
the foal, 8
for yourself, 8
where we, 8
the three, 8
me all, 8
've just, 8
know this, 8
of friendship, 8
had the, 8
never mind, 8
how dare, 8
way i, 8
n't say, 8
can have, 8
to cloudsdale, 8
's exactly, 8
oh really, 8
free press, 8
one pony, 8
you going, 8
okay twilight, 8
a baby, 8
have one, 8
pony pokey, 8
pound cake, 8
the place, 8
to think, 8
forget it, 8
and he, 8
was an, 8
for us, 8
keep up, 8
mascarpone meringue, 8
has a, 8
decided to, 8
's over, 8
go with, 8
still do, 8
feel like, 8
you you, 8
just did, 8
to share, 8
's fine, 8
her own, 8
follow me, 8
me get, 8
was i, 8
forgive me, 8
am so, 8
if the, 8
the running, 8
's still, 8
you heard, 8
ta be, 8
ice cream, 8
foal free, 8
on this, 8
up there, 8
fluttershy you, 8
something you, 8
be perfect, 8
few days, 8
and pinkie, 8
oh good, 8
pinkie you, 7
sorry twilight, 7
the family, 7
summer sun, 7
to finish, 7
slow down, 7
you but, 7
yeah yeah, 7
comes to, 7
guys are, 7
okay okay, 7
i i, 7
to canterlot, 7
a bite, 7
did i, 7
good friends, 7
show them, 7
is something, 7
have i, 7
yes you, 7
your talent, 7
some help, 7
oh sweetie, 7
some more, 7
this for, 7
before you, 7
's important, 7
a chicken, 7
it has, 7
and as, 7
n't really, 7
too busy, 7
never be, 7
all your, 7
does she, 7
first prize, 7
n't seen, 7
but when, 7
around and, 7
equestria is, 7
na make, 7
better be, 7
a doormat, 7
it and, 7
a word, 7
are they, 7
he just, 7
you remember, 7
from that, 7
's more, 7
are and, 7
may be, 7
will have, 7
nice to, 7
you care, 7
are supposed, 7
thanks for, 7
'll give, 7
feel better, 7
the town, 7
princess 's, 7
sure she, 7
will do, 7
's always, 7
but why, 7
anything like, 7
too late, 7
n't for, 7
more of, 7
and tell, 7
some time, 7
nothing but, 7
to all, 7
take the, 7
and rainbow, 7
things i, 7
good at, 7
a while, 7
you call, 7
helping me, 7
spell that, 7
be afraid, 7
my hair, 7
with them, 7
out here, 7
hate to, 7
you might, 7
what ever, 7
would have, 7
to report, 7
and no, 7
we better, 7
you never, 7
may not, 7
y'all are, 7
what am, 7
i always, 7
birthday present, 7
her mane, 7
n't work, 7
somepony 's, 7
laughing at, 7
well no, 7
and have, 7
nice and, 7
birthday party, 7
mind if, 7
the air, 7
when she, 7
's with, 7
equestria and, 7
put a, 7
poor little, 7
dash is, 7
's party, 7
quiet now, 7
and try, 7
laugh at, 7
seems like, 7
very nice, 7
about me, 7
party is, 7
want a, 7
little bunnies, 7
mare in, 7
outfit for, 7
've done, 7
a cup, 7
one two, 7
are so, 7
around the, 7
sugar cube, 7
look so, 7
with our, 7
soon as, 7
sun celebration, 7
the summer, 7
anything else, 7
does it, 7
on that, 7
princess luna, 7
pin the, 7
go in, 7
pick up, 7
are here, 7
for another, 7
and here, 7
to watch, 7
great job, 7
have just, 7
of friends, 7
could make, 7
care about, 7
in and, 7
okay i, 7
that all, 7
you now, 7
right up, 7
be at, 7
full of, 7
your head, 7
good idea, 7
you there, 7
look out, 7
as it, 7
you seen, 7
to live, 7
to fly, 7
through the, 7
i uh, 7
what they, 7
to town, 7
has the, 7
said you, 7
a time, 7
oh we, 7
a day, 7
not at, 7
it off, 7
how it, 7
late for, 7
getting married, 7
the farm, 7
've made, 7
's hard, 7
from this, 7
're ready, 7
hear you, 7
from now, 7
only the, 7
've already, 7
when they, 7
said no, 7
