File Name, Num Words, Num Tokens, Num Sentences, Num Speakers, Ave Sentence Len, Ave Word Len, $, '', :, CC, CD, DT, EX, FW, IN, JJ, JJR, JJS, LS, MD, NN, NNP, NNPS, NNS, PDT, POS, PRP, PRP$, RB, RBR, RBS, RP, SYM, TO, UH, VB, VBD, VBG, VBN, VBP, VBZ, WDT, WP, WP$, WRB, ``
D:\corpora\COCA\text_fiction_awq\other\w_fic_2007.txt, 3605640, 81316, 310615, 0, 62.24, 4.25, 35, 1278, 14729, 120332, 32667, 349543, 8254, 693, 385352, 248127, 8676, 5258, 30, 55004, 727879, 349, 8, 168881, 3420, 23600, 250768, 98481, 214176, 4821, 1063, 29985, 696, 86130, 953, 156705, 225201, 81193, 73678, 81853, 89348, 12059, 20883, 563, 22969, 0
D:\corpora\COCA\text_fiction_awq\other\w_fic_2008.txt, 3861250, 87442, 308552, 0, 67.42, 4.26, 27, 2682, 6609, 129867, 29169, 370739, 8084, 3250, 422153, 272134, 9899, 6814, 4, 60899, 758705, 521, 18, 170617, 3741, 25674, 266196, 118447, 235419, 5649, 1292, 29306, 108, 95138, 952, 169057, 290668, 84301, 88348, 75987, 58746, 13522, 21090, 515, 24903, 0
D:\corpora\COCA\text_fiction_awq\other\w_fic_2009.txt, 3802035, 83801, 292437, 0, 69.85, 4.26, 22, 2434, 10294, 131634, 28665, 370793, 8231, 2697, 420411, 265619, 9999, 6687, 3, 58550, 743614, 419, 25, 174353, 3811, 24711, 259828, 115136, 226402, 5563, 1420, 28528, 166, 92485, 807, 163440, 279342, 84454, 87072, 74326, 59907, 13735, 21192, 625, 24635, 0
D:\corpora\COCA\text_fiction_awq\other\w_fic_2010.txt, 3641233, 78499, 291919, 0, 66.87, 4.25, 24, 2170, 9916, 125440, 26736, 354168, 8009, 460, 401479, 253305, 9827, 6529, 6, 57182, 700017, 396, 17, 165257, 3473, 21099, 253135, 111101, 223008, 5362, 1215, 28218, 153, 90116, 865, 159362, 272011, 80220, 83948, 71098, 57689, 12768, 20787, 564, 24103, 0
D:\corpora\COCA\text_fiction_awq\other\w_fic_2011.txt, 3875732, 84111, 303372, 0, 68.48, 4.25, 38, 2592, 12583, 135545, 28062, 373895, 8451, 2405, 425405, 266641, 9835, 6647, 7, 59775, 752424, 454, 12, 174954, 3808, 24976, 276029, 119216, 232288, 5461, 1347, 29665, 156, 94008, 947, 167491, 284206, 85582, 87275, 76168, 66336, 13283, 21772, 517, 25476, 0
D:\corpora\COCA\text_fiction_awq\other\w_fic_2012.txt, 2177252, 60133, 173019, 0, 67.54, 4.24, 23, 1345, 7424, 73882, 15657, 208210, 4681, 373, 236378, 150887, 5470, 3759, 6, 34115, 421042, 217, 11, 99196, 2107, 13786, 154686, 66396, 130478, 3164, 723, 17122, 176, 53390, 596, 95917, 161901, 48267, 49811, 45611, 36143, 7557, 12251, 276, 14218, 0

juvenile_coca, 3074797, 60459, 302658, 0, 53.82, 4.17, 69, 1945, 4637, 94705, 35671, 279380, 6175, 486, 301423, 201658, 7406, 5056, 7, 50577, 644223, 460, 17, 140487, 2999, 22363, 219756, 88975, 180934, 3473, 1006, 25254, 147, 76053, 1089, 148193, 217036, 62625, 60197, 78660, 64665, 7828, 17877, 237, 21048, 0
other_coca, 80696846, 514776, 6622066, 0, 65.24, 4.24, 784, 60873, 278417, 2738440, 622294, 7825380, 180239, 21583, 8783042, 5528039, 190039, 120270, 194, 1195702, 15971118, 8874, 466, 3722952, 79798, 529065, 5705384, 2328891, 4804809, 108573, 23994, 653722, 9519, 1950076, 20633, 3495007, 5462231, 1804486, 1710863, 1784106, 1712114, 268422, 462805, 11793, 521848, 1

juvenile_coca, 1000.0, 19.66, 98.43, 0, 53.82, 4.17, 0.02, 0.63, 1.51, 30.8, 11.6, 90.86, 2.01, 0.16, 98.03, 65.58, 2.41, 1.64, 0.0, 16.45, 209.52, 0.15, 0.01, 45.69, 0.98, 7.27, 71.47, 28.94, 58.84, 1.13, 0.33, 8.21, 0.05, 24.73, 0.35, 48.2, 70.59, 20.37, 19.58, 25.58, 21.03, 2.55, 5.81, 0.08, 6.85, 0
other_coca, 1000.0, 6.38, 82.06, 0, 65.24, 4.24, 0.01, 0.75, 3.45, 33.93, 7.71, 96.97, 2.23, 0.27, 108.84, 68.5, 2.35, 1.49, 0.0, 14.82, 197.92, 0.11, 0.01, 46.14, 0.99, 6.56, 70.7, 28.86, 59.54, 1.35, 0.3, 8.1, 0.12, 24.17, 0.26, 43.31, 67.69, 22.36, 21.2, 22.11, 21.22, 3.33, 5.74, 0.15, 6.47, 0.0
